model_key;size_gb;arch_display;is_moe;n_layers;hidden_dim;n_heads;n_kv_heads;n_experts;n_active_experts;num_parallel_reg;num_parallel_cfg;k_cache_reg;v_cache_reg;k_cache_cfg;v_cache_cfg;kv_bytes_per_element;use_unified_kv_reg;use_unified_kv_cfg;offload_reg;offload_cfg;context_length_reg;context_length_cfg;cfg_vs_reg_ratio;kv_cache_reg_gb;max_context_length_native;template;reasoning
unsloth/glm-4.7-flash;13.29;moe;Y;47;2048;;;;;4;4;q8_0;q5_1;q8_0;q5_1;1.625;True;True;1.0;1.0;32536;32536;1.0;40.71;202752;;thinking
unsloth/glm-4.7-flash-reap-23b-a3b;13.33;moe;Y;47;2048;;;;;4;4;q8_0;q5_1;q8_0;q5_1;1.625;True;True;1.0;1.0;32536;8192;0.25;40.71;202752;;thinking
vinpix/ternary-bonsai-27b-stock-mtp@?;8.79;mtp;N;65;5120;;;;;4;1;none;none;q8_0;q8_0;4.0;False;True;1;1.0;65536;196000;2.99;697.93;;;thinking
vinpix/bonsai-8b-llama.cpp;2.99;dense;N;36;4096;;;;;1;1;q8_0;iq4_nl;f16;q8_0;1.5;True;True;1.0;1.0;262144;65536;0.25;115.96;;;thinking
noctrex/ernie-4.5-21b-a3b-pt_moe;12.38;moe;Y;28;2560;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;12288;131072;10.67;10.57;;;instruct
qwen/qwen3.5-9b;8.28;dense;N;;;;;;;1;1;q8_0;iq4_nl;q5_1;q8_0;1.5;False;False;1.0;1.0;262144;32768;0.12;0.0;;;instruct
mradermacher/gemma-4-19b-a4b-it-reap-i1;12.29;moe;Y;30;2816;;;;;4;4;q8_0;iq4_nl;q8_0;q5_1;1.5;True;True;1.0;1.0;12288;8192;0.67;12.46;;;thinking
prism-ml/bonsai-27b;4.73;dense;N;64;5120;;;;;1;1;q8_0;iq4_nl;q8_0;q8_0;1.5;True;True;1.0;1.0;262144;196000;0.75;257.7;;;thinking
ibm-granite/granite-4.1-8b;7.22;dense;N;40;4096;;;;;1;1;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;262144;98304;0.38;128.85;;;instruct
mradermacher/gemma-4-26b-a4b-it-i1;13.92;moe;Y;30;2816;;;;;4;4;q8_0;iq4_nl;f16;;1.5;True;True;1.0;1.0;8192;22000;2.69;8.3;;;thinking
bartowski/google_gemma-4-26b-a4b-it;13.75;moe;Y;30;2816;;;;;4;4;q8_0;iq4_nl;iq4_nl;q8_0;1.5;True;True;1.0;1.0;8192;2048;0.25;8.3;;;thinking
unsloth/gemma-4-26b-a4b-it;13.58;moe;Y;30;2816;;;;;4;4;q8_0;iq4_nl;;;1.5;True;True;1.0;1.0;8192;2048;0.25;8.3;;;thinking
unsloth/ernie-4.5-21b-a3b-pt;12.48;moe;Y;28;2560;;;;;4;4;q8_0;iq4_nl;q8_0;q5_1;1.5;True;True;1.0;1.0;12288;3030;0.25;10.57;;;instruct
unsloth/gemma-4-12b-it-qat@q4_k_xl;6.72;dense;N;48;3840;;;;;1;4;q8_0;iq4_nl;;;1.5;False;True;1;1.0;262144;32536;0.12;144.96;;;thinking
qwen/qwen3-14b;12.12;dense;N;;;;;;;1;1;q8_0;iq4_nl;q8_0;q8_0;1.5;True;True;1.0;1.0;49152;32768;0.67;0.0;;;thinking
vinpix/ternary-bonsai-27b-stock-mtp;10.49;mtp;N;65;5120;;;;;4;4;q8_0;iq4_nl;q8_0;q8_0;1.5;True;True;1.0;1.0;24576;32536;1.32;98.15;;;thinking
